OBJECTID,stationName,DCO_CHAR,NETWORK_CHAR,editingRegion,stationTriplet
1095,American Beauty,UT,SNOLITE,NVEAST,1198:NV:SNTLT
1096,Henrys Fork,UT,SNOLITE,UINTA,1193:UT:SNTLT
1097,Robinson Lake,UT,SNOLITE,NVEAST,1199:NV:SNTLT
1098,Smith Creek,UT,SNOLITE,NVEAST,1235:NV:SNTLT
1099,Tent Mtn Upper,UT,SNOLITE,NVEAST,1201:NV:SNTLT
1100,Trout Creek Upper,UT,SNOLITE,NVEAST,1200:NV:SNTLT
1101,Agua Canyon,UT,SNOTEL,SWUT,907:UT:SNTL
1102,Bear River RS,UT,SNOTEL,UINTA,992:UT:SNTL
1103,Beaver Dams,UT,SNOTEL,SANPITCH,329:UT:SNTL
1104,Beaver Divide,UT,SNOTEL,UINTA,330:UT:SNTL
1105,Ben Lomond Peak,UT,SNOTEL,WASATCH,332:UT:SNTL
1106,Ben Lomond Trail,UT,SNOTEL,WASATCH,333:UT:SNTL
1107,Berry Creek,UT,SNOTEL,NVEAST,334:NV:SNTL
1108,Bevans Cabin,UT,SNOTEL,WASATCH,1214:UT:SNTL
1109,Big Bend,UT,SNOTEL,NVEAST,336:NV:SNTL
1110,Big Creek Sum,UT,SNOTEL,NVWEST,337:NV:SNTL
1111,Big Flat,UT,SNOTEL,SWUT,339:UT:SNTL
1112,Big Meadow,UT,SNOTEL,CA_WNV,340:NV:SNTL
1113,Bird Creek,UT,SNOTEL,NVEAST,1155:NV:SNTL
1114,Black Flat-U.M. Ck,UT,SNOTEL,SEUT,348:UT:SNTL
1115,Blacks Fork Jct,UT,SNOTEL,UINTA,1162:UT:SNTL
1116,Blue Lakes,UT,SNOTEL,CA_WNV,"356:CA:SNTL
"
1117,Bobs Hollow,UT,SNOTEL,SWUT,1278:UT:SNTL
1118,Box Creek,UT,SNOTEL,SWUT,364:UT:SNTL
1119,Box Springs,UT,SNOTEL,SWUT,1156:UT:SNTL
1120,Brian Head,UT,SNOTEL,SWUT,1154:UT:SNTL
1121,Brighton,UT,SNOTEL,WASATCH,366:UT:SNTL
1122,Bristlecone Trail,UT,SNOTEL,NVWEST,1111:NV:SNTL
1123,Brown Duck,UT,SNOTEL,UINTA,368:UT:SNTL
1124,Buck Flat,UT,SNOTEL,SANPITCH,371:UT:SNTL
1125,Buck Pasture,UT,SNOTEL,UINTA,1192:UT:SNTL
1126,Buckboard Flat,UT,SNOTEL,SEUT,1153:UT:SNTL
1127,Buckskin Lower,UT,SNOTEL,NVWEST,373:NV:SNTL
1128,Bug Lake,UT,SNOTEL,LOGANDES,374:UT:SNTL
1129,Burnside Lake,UT,SNOTEL,CA_WNV,1051:CA:SNTL
1130,Burts Miller Ranch,UT,SNOTEL,UINTA,1135:UT:SNTL
1131,Camp Jackson,UT,SNOTEL,SEUT,383:UT:SNTL
1132,Carson Pass,UT,SNOTEL,CA_WNV,1067:CA:SNTL
1133,Cascade Mountain,UT,SNOTEL,WASATCH,1039:UT:SNTL
1134,Castle Valley,UT,SNOTEL,SWUT,390:UT:SNTL
1135,Cave Mountain,UT,SNOTEL,NVEAST,1152:NV:SNTL
1136,Chalk Creek #1,UT,SNOTEL,UINTA,392:UT:SNTL
1137,Chalk Creek #2,UT,SNOTEL,UINTA,393:UT:SNTL
1138,Chepeta,UT,SNOTEL,UINTA,396:UT:SNTL
1139,Clayton Springs,UT,SNOTEL,UTDIXIE,983:UT:SNTL
1140,Clear Creek #1,UT,SNOTEL,SANPITCH,399:UT:SNTL
